description,grade,name,tags
"Same as ""Healing Arete"" but with an easier finish out right to top out",V3/4, Healing Arete Extension,Boulder
Climb the obvious dihedral with less obvious holds,V3, Obvious Frickin Dihedral (stand),Boulder
"(None,)",V5,Babies' First Lowball,Boulder
No Hands Slab climb,V0,Show Me Your Hands,Boulder
Climb the Jugs on left and then Traverse the lip to the arete shared by The Red Keep,V2,The Red Left,Boulder
"(None,)",V4,The Red Keep,Boulder
"(None,)",V4,The Red Crypt,Boulder
"(None,)",V0,Babies' First Highball,Boulder
"(None,)",V0 - 1,Warm-Up Slab,Boulder
"(None,)",V5,Maccabee,Boulder
"(None,)",V3,Sloper Surfer,Boulder
"(None,)",V6,Hellinistic,Boulder
"(None,)",V5,Gollum,Boulder
"(None,)",V3,Smeagul,Boulder
"Climb first crack, starting as low as possible.",V2,Jam or Jelly,Boulder
Hug the block like a fridge and muscle yourself to the top,V2,Helicopter Strippers,Boulder
"(None,)",V3,Bachelor Party Right,Boulder
"(None,)",V2,Bachelor Party Left,Boulder
"(None,)",V0,Lollipop Left,Boulder
"(None,)",V1,Lollipop Right,Boulder
"(None,)",V6,Filament,Boulder
"(None,)",V3,Fracture,Boulder
"(None,)",V5,Avalache,Boulder
"(None,)",V0,Across the Lily Pad,Boulder
"(None,)",V2,Froggy,Boulder
"(None,)",V8,Flight of the Lily,Boulder
"(None,)",V7,Hitting The Slopes,Boulder
"(None,)",V1,Floral Coral Stand,Boulder
"(None,)",V5,Floral Coral,Boulder
"(None,)",V4,Married Man,Boulder
"(None,)",V3,When Squirrels Attack,Boulder
"(None,)",5.9,Wanda Wanda,Trad
"(None,)",5.9,Grit to Gamble,Trad
"(None,)",5.8,Goofy's Gamble,Trad
"(None,)",5.11b,Static Fanatic,Sport
"(None,)",5.9,A Certain Ratio,Trad
"(None,)",5.8,Lumpy Corner,Trad
"(None,)",5.10c,Black Hole,Sport
"(None,)",5.10c,Box Canyon,Sport
"(None,)",5.10a, Salt & Pepper,Sport
"(None,)",5.10d,Polka Dots,Sport
"(None,)",5.10c, Something Wicked This Way Comes,Sport
"(None,)",5.10a, No Leaf Clover,Sport
"(None,)",5.10c,Moustache Ride,Sport
"(None,)",5.12a,The Name of the Wind,Sport
"(None,)",5.12c,The Siege,Sport
"(None,)",5.13a,Baby Driver,Sport
"(None,)",5.12b,Killer Instincts,Sport
"(None,)",5.11d,Skippandabang,Sport
"(None,)",5.11a/b,Hotdog water,Sport
"Enjoyable little trad climb on an otherwise sport climbing dominant crag. Short but sweet, standard set of black diamond stopper nuts should do the job.",5.7, Lockin' 'r Hookin',Trad
"Climb the left facing corner crack through a shallow chimney to the first ledge and start of the corner offwidth crack. The crack is short but well worth the effort.
Climb the crack to the upper ledge. The chains can be found on the left facing wall about 1.5m above the upper ledge.
A few large CAMALOTS C4 #5- #7 will eliminate the run out in the upper wife section.",5.9, Drifter's Escape,Trad
Solo some 5.9 to a silly high first bolt and a crux Traverse and bulge.. Climb a fun crack from a huge rest to a very run out ending.,5.11a, Koyaanisqatsi,Sport
A technical climb with a distinct crux on the bulge. Great grippy rock. Lots of edges and crimps! Was only 4bolts in 25m. Now it's is 8 and climbs modern and safely. Completely rebolted 2017 by Mason Tessier.,5.12a, Double Clutch,Sport
"(None,)",5.11b, Ideal for Living,Unknown
"(None,)",5.10c,2+2=5,Unknown
"(None,)",5.10a,Brazilian Buzz,Unknown
"(None,)",5.11a, The Great Outdoors,Sport
"(None,)",5.10d,A.K.A,Sport
"(None,)",5.11b,Winnebago Warrior,Unknown
"(None,)",5.11b,Channel Zero,Sport
"(None,)",5.11b,Through a Glass Darkly,Unknown
"(None,)",5.10d, The Roman Empire,Sport
"(None,)",5.10d, M.E.C.,Sport
"(None,)",5.12a,Scribble Feet,Unknown
"Extension above M.E.C. Crank the powerful Roof! The crimps over the roof broke since the FA a few times, thus warranting 5.13.",5.13a, Fries & Gravy,Sport
"(None,)",5.10a,Nuts of Steel,Trad
Beauty technical face climbing the entrie way (climbs longer then the height depicts). This route has some amazing movement and some very very fingery holds. Hard to believe it gets 12A! Enjoy a 1980's test piece,5.12a, Sensoria,Sport
A v5 boulder problem over the roof.,5.12c, Kiwis Fly,Sport
"(None,)",5.11a, Cost of Living,Mixed trad
"(None,)",5.11c,Age of Reason Direct,Unknown
"(None,)",5.10c,Age of Reason,Unknown
"(None,)",5.11c,Bango,Unknown
"(None,)",5.10c,Sharky's Revenge,Unknown
"(None,)",5.12a,Where's Your Child,Unknown
The extension above Blank On The Map. A Rockies hidden gem. Beautiful technical climbing with a lower powerful Crux,5.12a, Requiem,Sport
"(None,)",5.10d,Tempted to Exist,Unknown
